Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
AGT;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;255585,3;1527876,9;#DIV/0!;6; -   ;1,6; -   ;-1,6;100
AGT;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;205643,7;1100036,3;#DIV/0!;5,3; -   ;1,4; -   ;-1,4;100
AGT;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;176243,5;854250,9;#DIV/0!;4,8; -   ;1,3; -   ;-1,3;100
AGT;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;127286,8;612251,2;#DIV/0!;4,8; -   ;1,3; -   ;-1,3;100
AGT;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;189014;773661,3;#DIV/0!;4,1; -   ;0,9; -   ;-0,9;100
AGT;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
AGT;Plasma;Plasma 2;218,5;31449; -   ; -   ;56553,7;173088,5;#DIV/0!;3,1; -   ;0,8; -   ;-0,8;100
AGT;Mitra;Mitra 1;67,6;9688; -   ; -   ;10013;42272,8;#DIV/0!;4,2; -   ;0,6; -   ;-0,6;100
AGT;Mitra;Mitra 2;137,6;19739; -   ; -   ;13986;61204,5;#DIV/0!;4,4; -   ;0,4; -   ;-0,4;100
SEP;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Plasma;Plasma 1; -   ; -   ; -   ; -   ;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
SEP;Plasma;Plasma 2;218,5;31449; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Mitra;Mitra 1;67,6;9688; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
SEP;Mitra;Mitra 2;137,6;19739; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Plasma;Plasma 1; -   ; -   ; -   ; -   ;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
OKT;Plasma;Plasma 2;218,5;31449; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Mitra;Mitra 1;67,6;9688; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
OKT;Mitra;Mitra 2;137,6;19739; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Plasma;Plasma 1; -   ; -   ; -   ; -   ;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
NOV;Plasma;Plasma 2;218,5;31449; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Mitra;Mitra 1;67,6;9688; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
NOV;Mitra;Mitra 2;137,6;19739; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Plasma;Plasma 1; -   ; -   ; -   ; -   ;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
DES;Plasma;Plasma 2;218,5;31449; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Mitra;Mitra 1;67,6;9688; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
DES;Mitra;Mitra 2;137,6;19739; -   ; -   ;;;#DIV/0!;#DIV/0!; -   ; -   ;#DIV/0!; -   ;#DIV/0!
